profile_id,profile_version,field_scope,field_path,value_kind,cln_aff,cln_dnv,cln_altv,cln_altg,cln_uaf,rule_kind,rule_value,source_id
clingen.svcv4.public-draft,2026-07-10,case,$.moi,string,r,r,r,r,r,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,case,$.pop_frq_points,number,r,r,x,x,x,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,case,$.case_proband_info,object,r,r,r,r,r,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,case,$.vbc,object,r,r,r,r,r,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,case,$.compound_het_variant,object,c,x,x,x,x,context,biallelic_disease_with_het_vbc,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,case,$.additional_variant_exists,string,r,x,r,r,x,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,case,$.additional_variants,array,c,x,r,r,x,requires,additional_variant_exists_true,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,proband,$.sex,string,o,o,o,o,o,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,proband,$.age,object,o,o,o,o,o,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,proband,$.phenotypes,array,o,o,o,o,o,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,proband,$.pheno_specificity_for_gene,string,r,r,x,x,x,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,proband,$.pheno_severity,string,x,x,r,c,x,enum_exclude,BIALLELIC_LT_EXPECTED,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,proband,$.age_matched_penetrance,string,o,o,x,c,r,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,proband,$.confirmed_parental_relationship,string,x,r,x,x,x,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,proband,$.all_relevant_genes_tested,string,r,r,x,x,x,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,age,$.value,number,o,o,o,o,o,,,svcv4-model-case-schema
clingen.svcv4.public-draft,2026-07-10,age,$.min,number,o,o,o,o,o,,,svcv4-model-case-schema
clingen.svcv4.public-draft,2026-07-10,age,$.max,number,o,o,o,o,o,,,svcv4-model-case-schema
clingen.svcv4.public-draft,2026-07-10,age,$.unit,string,o,o,o,o,o,,,svcv4-model-case-schema
clingen.svcv4.public-draft,2026-07-10,age,$.qualifier,string,o,o,o,o,o,,,svcv4-model-case-schema
clingen.svcv4.public-draft,2026-07-10,age,$.raw,string,o,o,o,o,o,,,svcv4-model-case-schema
clingen.svcv4.public-draft,2026-07-10,phenotype,$.name,string,o,o,o,o,o,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,phenotype,$.code,string,o,o,o,o,o,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,vbc,$.id,string,r,r,r,r,r,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,vbc,$.zygosity,string,r,r,r,r,r,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,compound_het,$.id,string,c,x,x,x,x,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,compound_het,$.zygosity,string,c,x,x,x,x,fixed,HET,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,compound_het,$.phase_in_ref_to_vbc,string,c,x,x,x,x,fixed,TRANS,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,compound_het,$.phase_confidence,string,c,x,x,x,x,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,compound_het,$.classification,string,c,x,x,x,x,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,additional_variant,$.id,string,r,x,r,r,x,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,additional_variant,$.gene,object,r,x,r,r,x,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,additional_variant,$.zygosity,string,r,x,r,r,x,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,additional_variant,$.phase_in_ref_to_vbc,string,c,x,r,x,x,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,additional_variant,$.phase_confidence,string,c,x,r,x,x,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,additional_variant,$.classification,string,r,x,r,r,x,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,gene,$.symbol,string,r,x,r,r,x,,,svcv4-model-case-applicability
clingen.svcv4.public-draft,2026-07-10,gene,$.mde_associated_gene,string,r,x,r,r,x,different_gene,required_when_gene_differs_from_vbc_gene,svcv4-model-case-applicability
